,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1901,1903-JAN-12.70,1903-FEB-144.00,1903-MAR-0.00,1903-APR-1.00,1903-MAY-235.10,1903-JUN-479.90,1903-JUL-728.40,1903-AUG-326.70,1903-SEP-339.00,1903-OCT-181.20,1903-NOV-284.40,1903-DEC-225.00
1902,1904-JAN-9.40,1904-FEB-14.70,1904-MAR-0.00,1904-APR-202.40,1904-MAY-304.50,1904-JUN-495.10,1904-JUL-502.00,1904-AUG-160.10,1904-SEP-820.40,1904-OCT-222.20,1904-NOV-308.70,1904-DEC-40.10
1903,1905-JAN-1.30,1905-FEB-0.00,1905-MAR-3.30,1905-APR-26.90,1905-MAY-279.50,1905-JUN-628.70,1905-JUL-368.70,1905-AUG-330.50,1905-SEP-297.00,1905-OCT-260.70,1905-NOV-25.40,1905-DEC-344.70
1904,1906-JAN-36.60,1906-FEB-0.00,1906-MAR-0.00,1906-APR-0.00,1906-MAY-556.10,1906-JUN-733.30,1906-JUL-247.70,1906-AUG-320.50,1906-SEP-164.30,1906-OCT-267.80,1906-NOV-128.90,1906-DEC-79.20
1905,1907-JAN-110.70,1907-FEB-0.00,1907-MAR-113.30,1907-APR-21.60,1907-MAY-616.30,1907-JUN-305.20,1907-JUL-443.90,1907-AUG-377.60,1907-SEP-200.40,1907-OCT-264.40,1907-NOV-648.90,1907-DEC-245.60
1906,1908-JAN-20.90,1908-FEB-85.10,1908-MAR-0.00,1908-APR-29.00,1908-MAY-562.00,1908-JUN-693.60,1908-JUL-481.40,1908-AUG-699.90,1908-SEP-428.80,1908-OCT-170.70,1908-NOV-208.10,1908-DEC-196.90
1907,1909-JAN-nan,1909-FEB-nan,1909-MAR-nan,1909-APR-nan,1909-MAY-nan,1909-JUN-nan,1909-JUL-nan,1909-AUG-nan,1909-SEP-nan,1909-OCT-nan,1909-NOV-nan,1909-DEC-nan
1908,1910-JAN-26.60,1910-FEB-22.70,1910-MAR-206.30,1910-APR-89.30,1910-MAY-224.50,1910-JUN-472.70,1910-JUL-264.30,1910-AUG-337.40,1910-SEP-626.60,1910-OCT-208.20,1910-NOV-267.30,1910-DEC-153.50
1909,1911-JAN-0.00,1911-FEB-8.40,1911-MAR-0.00,1911-APR-122.50,1911-MAY-327.30,1911-JUN-649.00,1911-JUL-253.00,1911-AUG-187.10,1911-SEP-464.50,1911-OCT-333.80,1911-NOV-94.50,1911-DEC-247.10
1910,1912-JAN-583.70,1912-FEB-0.80,1912-MAR-0.00,1912-APR-21.90,1912-MAY-140.70,1912-JUN-549.80,1912-JUL-468.90,1912-AUG-370.30,1912-SEP-386.20,1912-OCT-318.70,1912-NOV-117.20,1912-DEC-2.30
1911,1913-JAN-84.80,1913-FEB-0.50,1913-MAR-1.30,1913-APR-2.50,1913-MAY-190.70,1913-JUN-530.00,1913-JUL-280.80,1913-AUG-205.80,1913-SEP-580.10,1913-OCT-288.80,1913-NOV-133.00,1913-DEC-67.50
1912,1914-JAN-0.00,1914-FEB-0.00,1914-MAR-0.00,1914-APR-37.70,1914-MAY-298.80,1914-JUN-383.30,1914-JUL-792.80,1914-AUG-520.50,1914-SEP-310.80,1914-OCT-139.80,1914-NOV-184.40,1914-DEC-289.70
1913,1915-JAN-45.00,1915-FEB-56.70,1915-MAR-33.30,1915-APR-40.90,1915-MAY-170.20,1915-JUN-334.70,1915-JUL-269.00,1915-AUG-317.20,1915-SEP-429.80,1915-OCT-468.10,1915-NOV-258.40,1915-DEC-318.00
1914,1916-JAN-0.00,1916-FEB-0.00,1916-MAR-0.00,1916-APR-0.50,1916-MAY-487.40,1916-JUN-450.10,1916-JUL-317.30,1916-AUG-425.00,1916-SEP-561.20,1916-OCT-369.70,1916-NOV-192.60,1916-DEC-133.70
1915,1917-JAN-8.00,1917-FEB-3.60,1917-MAR-112.00,1917-APR-4.50,1917-MAY-295.90,1917-JUN-301.10,1917-JUL-394.80,1917-AUG-437.40,1917-SEP-471.80,1917-OCT-238.10,1917-NOV-108.30,1917-DEC-236.90
1916,1918-JAN-77.40,1918-FEB-6.90,1918-MAR-11.40,1918-APR-10.70,1918-MAY-729.30,1918-JUN-710.80,1918-JUL-200.90,1918-AUG-455.40,1918-SEP-303.30,1918-OCT-227.00,1918-NOV-366.90,1918-DEC-175.00
1917,1919-JAN-10.20,1919-FEB-18.00,1919-MAR-0.00,1919-APR-35.50,1919-MAY-283.90,1919-JUN-542.50,1919-JUL-246.50,1919-AUG-259.80,1919-SEP-170.70,1919-OCT-186.20,1919-NOV-340.40,1919-DEC-258.40
1918,1920-JAN-122.30,1920-FEB-7.40,1920-MAR-3.10,1920-APR-13.00,1920-MAY-237.40,1920-JUN-546.90,1920-JUL-294.40,1920-AUG-467.40,1920-SEP-505.40,1920-OCT-397.50,1920-NOV-262.90,1920-DEC-85.50
1919,1921-JAN-13.20,1921-FEB-3.10,1921-MAR-0.00,1921-APR-37.50,1921-MAY-351.20,1921-JUN-282.70,1921-JUL-487.10,1921-AUG-330.00,1921-SEP-581.20,1921-OCT-360.70,1921-NOV-118.20,1921-DEC-41.50
1920,1922-JAN-245.30,1922-FEB-34.30,1922-MAR-15.60,1922-APR-323.10,1922-MAY-289.70,1922-JUN-506.10,1922-JUL-425.80,1922-AUG-307.40,1922-SEP-511.70,1922-OCT-162.00,1922-NOV-541.00,1922-DEC-192.20
1921,1923-JAN-79.50,1923-FEB-0.00,1923-MAR-nan,1923-APR-91.30,1923-MAY-293.50,1923-JUN-808.40,1923-JUL-636.90,1923-AUG-182.20,1923-SEP-560.50,1923-OCT-131.90,1923-NOV-197.40,1923-DEC-70.60
1922,1924-JAN-28.70,1924-FEB-0.00,1924-MAR-14.80,1924-APR-89.70,1924-MAY-191.20,1924-JUN-261.20,1924-JUL-493.30,1924-AUG-290.90,1924-SEP-251.20,1924-OCT-331.10,1924-NOV-378.60,1924-DEC-nan
1923,1925-JAN-36.60,1925-FEB-0.00,1925-MAR-8.60,1925-APR-50.40,1925-MAY-282.20,1925-JUN-663.80,1925-JUL-241.80,1925-AUG-278.20,1925-SEP-201.90,1925-OCT-249.50,1925-NOV-271.50,1925-DEC-196.00
1924,1926-JAN-122.10,1926-FEB-0.00,1926-MAR-0.00,1926-APR-0.50,1926-MAY-198.40,1926-JUN-370.00,1926-JUL-195.30,1926-AUG-523.70,1926-SEP-719.30,1926-OCT-443.80,1926-NOV-148.40,1926-DEC-560.70
1925,1927-JAN-3.00,1927-FEB-17.50,1927-MAR-17.80,1927-APR-108.60,1927-MAY-504.10,1927-JUN-433.30,1927-JUL-195.20,1927-AUG-370.10,1927-SEP-126.20,1927-OCT-327.50,1927-NOV-274.10,1927-DEC-65.50
1926,1928-JAN-50.90,1928-FEB-67.60,1928-MAR-80.70,1928-APR-129.30,1928-MAY-499.50,1928-JUN-410.20,1928-JUL-406.30,1928-AUG-391.50,1928-SEP-404.80,1928-OCT-444.50,1928-NOV-99.50,1928-DEC-13.50
1927,1929-JAN-74.20,1929-FEB-118.40,1929-MAR-129.20,1929-APR-69.80,1929-MAY-316.60,1929-JUN-588.80,1929-JUL-134.00,1929-AUG-644.70,1929-SEP-172.90,1929-OCT-413.00,1929-NOV-251.50,1929-DEC-13.50
